saID,GM_Object,Location,BSL_Type
BSL_113,"MultiLineString ((124.39555600000005597 -10.17194399999993948, 123.22277800000006209 -10.829721999999947))",Timor Sea,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_114,"MultiLineString ((123.22277800000006209 -10.829721999999947, 122.87694400000009409 -11.00999999999993406))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_115,"MultiLineString ((122.87694400000009409 -11.00999999999993406, 121.83750000000009095 -10.62694399999998041))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_116,"MultiLineString ((121.83750000000009095 -10.62694399999998041, 121.28250000000002728 -10.83333299999998189))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_117,"MultiLineString ((121.28250000000002728 -10.83333299999998189, 121.27722200000005159 -10.83166699999998173))",Indian Ocean,Common Baseline (Garis Pangkal Biasa)
BSL_118,"MultiLineString ((121.27722200000005159 -10.83166699999998173, 120.45361100000002352 -10.31722199999995837))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_119,"MultiLineString ((120.45361100000002352 -10.31722199999995837, 120.11722200000008343 -10.33944399999995767))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_120,"MultiLineString ((120.11722200000008343 -10.33944399999995767, 120.11154742900009751 -10.33895662299994456, 120.10869534500011468 -10.33857012699996858, 120.10497313500002292 -10.33760388599995395, 120.09888900000009926 -10.33555599999994001))",Indian Ocean,Common Baseline (Garis Pangkal Biasa)
BSL_121,"MultiLineString ((120.09888900000009926 -10.33555599999994001, 119.05750000000011823 -9.69861099999997123))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_122,"MultiLineString ((119.05750000000011823 -9.69861099999997123, 119.04872609200003808 -9.6924264339999695, 119.0252355020001005 -9.67462184999993724, 118.92472200000008797 -9.56277799999998024))",Indian Ocean,Common Baseline (Garis Pangkal Biasa)
BSL_123,"MultiLineString ((118.92472200000008797 -9.56277799999998024, 118.46722200000010616 -8.88944399999996904))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_124,"MultiLineString ((118.46722200000010616 -8.88944399999996904, 117.05694400000004407 -9.10416699999996126))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_125,"MultiLineString ((117.05694400000004407 -9.10416699999996126, 117.01277800000002571 -9.11027799999993704))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_126,"MultiLineString ((117.01277800000002571 -9.11027799999993704, 116.00222200000007433 -8.92222199999997656))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_127,"MultiLineString ((116.00222200000007433 -8.92222199999997656, 115.58694400000001679 -8.8197219999999561))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_128,"MultiLineString ((115.58694400000001679 -8.8197219999999561, 115.17555600000002869 -8.85166699999996354))",Indian Ocean,Straight Archipelagic Baseline (Garis Pangkal Lurus Kepulauan)
BSL_129,"MultiLineString ((115.17555600000002869 -8.85166699999996354, 115.10861100000010993 -8.84888899999992873))",Indian Ocean,Common Baseline (Garis Pangkal Biasa)
